email,module,completed
jonas.jerebko@company.com,SAP BTP Overview,False
jonas.jerebko@company.com,SAP Node.js Development,False
jonas.jerebko@company.com,REST API Fundamentals,False
jonas.jerebko@company.com,SAP Cloud SDK,True
jonas.jerebko@company.com,Git & GitHub Basics,True
jonas.jerebko@company.com,VS Code Productivity,False
jonas.jerebko@company.com,API Testing with Postman,False
jonas.jerebko@company.com,Agile Delivery Basics,False
clarissa.tan@company.com,SAP BTP Overview,True
clarissa.tan@company.com,SAP Business Application Studio Basics,False
clarissa.tan@company.com,SAP BTP CLI Training,False
clarissa.tan@company.com,Java for SAP Developers,False
clarissa.tan@company.com,Node.js Fundamentals,False
clarissa.tan@company.com,Git & Version Control,False
clarissa.tan@company.com,SAP Cloud SDK,False
clarissa.tan@company.com,Postman & API Testing,False
clarissa.tan@company.com,Cloud Integration Basics,False
clarissa.tan@company.com,Agile & Scrum Fundamentals,False
langston.galloway@company.com,SAP Industry Cloud Engineering,False
langston.galloway@company.com,SAP Cloud SDK Advanced,False
langston.galloway@company.com,ABAP Advanced,False
langston.galloway@company.com,Cloud Deployment,False
langston.galloway@company.com,Agile Cloud Delivery,False
jae.crowder@company.com,SAP BTP Advanced Development,False
jae.crowder@company.com,Java & JavaScript for SAP,False
jae.crowder@company.com,SAP BTP CLI Deep Dive,False
jae.crowder@company.com,Node.js for Integration,False
jae.crowder@company.com,Git & GitHub Workflows,False
jae.crowder@company.com,SAP Cloud SDK,False
jae.crowder@company.com,API & Microservices,False
jae.crowder@company.com,Postman Advanced Usage,False
jae.crowder@company.com,Cloud Integration Advanced,False
jae.crowder@company.com,Agile Project Practices,False
